Latitude,Longitude,YEAR,Rain,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Humidity,Humidity_1,Humidity_2,Humidity_3,Humidity_4,Humidity_5,Sunlight,Sunlight_1,Sunlight_2,Sunlight_3,Sunlight_4,Sunlight_5,Temperature,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,AESR_0,AESR_1,AESR_2,AESR_3,AESR,Crop_Yield_3,Crop_Yield_2,Crop_Yield_1,Crop_Yield
29.9880774,77.5081299470512,1994,0.0412260200828313,0.0037533827,0.013004249,0.021364365,0.003101755,2.2687018e-06,345.20923233032227,49.448288,82.985275,84.56424,72.78509,55.426342,76131481.0,18960854.0,12401014.0,12131468.0,16651094.0,15987051.0,1517.3242797851562,308.5087,303.36987,302.75204,302.06836,300.6253,0,0,0,1,9.1,0.8824289405684754,0.8571428571428572,1.0202634245187439,1.3057259713701432
29.9880774,77.5081299470512,1995,0.0365388244390487,0.0036717877,0.012935119,0.012319755,0.00756683,4.5333058e-05,351.361759185791,46.603424,81.485504,86.258286,79.74195,57.272594,75928306.0,20226972.0,13928889.0,11076990.0,15378881.0,15316574.0,1518.87060546875,309.39627,303.5519,302.0737,302.6074,301.24133,0,0,0,1,9.1,0.8571428571428572,1.0202634245187439,1.3057259713701432,0.8830188679245283
29.9880774,77.5081299470512,1996,0.0356412790715694,0.0078070834,0.007555498,0.014001524,0.005417023,0.0008601509,385.9988250732422,66.20441,82.256424,86.58498,83.24018,67.71284,71328427.0,16923688.0,14751070.0,10704842.0,13638349.0,15310478.0,1511.9512634277344,305.20016,303.49493,301.85202,301.6998,299.70435,0,0,0,1,9.1,1.0202634245187439,1.3057259713701432,0.8830188679245283,1.0824524312896404
29.9880774,77.5081299470512,1997,0.0309790112078189,0.004364215,0.01359128,0.00957158,0.0023821294,0.0010698065,376.8442840576172,61.002228,82.79471,82.11412,80.58465,70.34858,74282928.0,19428834.0,12642792.0,13526941.0,14654901.0,14029460.0,1511.8484802246094,305.57587,303.53546,302.7703,302.1636,297.80325,0,0,0,1,9.1,1.3057259713701432,0.8830188679245283,1.0824524312896404,1.2168539325842695
29.9880774,77.5081299470512,1998,0.033116353675723,0.005779665,0.011417674,0.008247923,0.003406603,0.004264489,380.889461517334,58.188297,83.63864,83.65102,79.2841,76.1274,74506421.0,18629002.0,13358645.0,13417904.0,15166224.0,13934646.0,1517.095458984375,307.09012,303.57285,302.9893,303.25992,300.1833,0,0,0,1,9.1,0.8830188679245283,1.0824524312896404,1.2168539325842695,0.8407407407407407
29.9880774,77.5081299470512,1999,0.0271780341863632,0.0032728799,0.011009697,0.0057128035,0.0063338354,0.00084881857,376.4173545837402,57.079556,81.028885,82.052246,85.187904,71.06876,75820623.0,19016050.0,13788021.0,14447662.0,13230983.0,15337907.0,1515.4071655273438,306.48077,303.827,303.12372,301.7657,300.21,0,0,0,1,9.1,1.0824524312896404,1.2168539325842695,0.8407407407407407,0.9382151029748282
29.9880774,77.5081299470512,2000,0.0276528727263212,0.012278957,0.0074047726,0.006332701,0.0016364418,0.0,381.6430435180664,74.789734,83.83786,82.31087,76.91318,63.791405,75792178.0,16813634.0,12484992.0,14608509.0,16082204.0,15802839.0,1513.8287963867188,304.15372,302.84552,302.98663,302.3826,301.46033,0,0,0,1,9.1,1.2168539325842695,0.8407407407407407,0.9382151029748282,1.1274685816876124
29.9880774,77.5081299470512,2001,0.0270171109586954,0.0073073115,0.012018306,0.006880069,0.00039324537,0.00041817874,373.6059036254883,75.592834,83.40353,80.632904,69.35739,64.61925,78844883.0,16673444.0,13675936.0,15613548.0,17556916.0,15325039.0,1516.0944213867188,304.04465,303.37967,303.63962,303.54523,301.48526,0,0,0,1,9.1,0.8407407407407407,0.9382151029748282,1.1274685816876124,1.1666666666666667
29.9880774,77.5081299470512,2002,0.0271179713308811,0.002412729,0.0022960007,0.0113168135,0.010943968,0.00014846027,356.47732162475586,58.36649,64.08963,82.87019,82.24899,68.902016,80289117.0,19731564.0,18078060.0,12691892.0,14082963.0,15704638.0,1518.3231201171875,307.06253,307.0425,303.08545,300.875,300.25763,0,0,0,1,9.1,0.9382151029748282,1.1274685816876124,1.1666666666666667,0.4942857142857143
29.9880774,77.5081299470512,2003,0.0337895173579454,0.0028399713,0.014553426,0.00827059,0.008125531,0.0,373.0676155090332,55.4548,82.658585,85.19657,85.24978,64.50788,75815882.0,20184984.0,13116866.0,13370496.0,12964824.0,16178712.0,1514.9803161621094,307.6198,302.95413,302.79123,301.44788,300.16727,0,0,0,1,9.1,1.1274685816876124,1.1666666666666667,0.4942857142857143,0.8493150684931507
